Top1	Top2	Top3	Top4	Top5	Top6	Top7	Top8	Top9	Top10	Top11	Top12	Top13	Top14	Top15	TA
4.01008752967e-05	8.51822080598e-05	6.69727629274e-05	0.0001149873	0.9399712497	9.19676426114e-05	9.95515912076e-05	6.64258745226e-05	4.26256859314e-05	0.0590205162	0.0001091339	5.52757750535e-05	7.21102215605e-05	5.58373529646e-05	0.000108063	Solar Mounting/Rack
9.45133105646e-05	0.0025523923	0.0001578474	0.7645498934	0.0001749266	0.1060399872	0.1248708803	0.0001565584	0.000100464	0.0003587912	0.0002572164	0.0001302789	0.0001699558	0.0001316024	0.0002546924	Solar Mounting/Rack
8.00231028746e-05	0.0997244891	0.091723791	0.5119396139	0.0001481079	0.0001835256	0.1614769565	0.0001325558	8.50614762183e-05	0.036143405	0.0002177815	0.0001103053	0.0001438992	0.000111426	0.0977790586	Solar Mounting/Rack
0.0001715806	0.0003644712	0.000286558	0.000491999	0.0003175639	0.4187723815	0.0004259538	0.0301684235	0.0001823836	0.0006513537	0.0004669537	0.0002365098	0.4314949337	0.0002389126	0.1157300215	Solar Invertor
0.0221694993	5.90718147437e-05	0.0228800622	0.0284487817	0.0145819536	0.0007557052	6.9036636725e-05	4.60647480661e-05	2.95598890897e-05	0.0353938874	7.5681713256e-05	3.83324219711e-05	5.00067061675e-05	0.8434987379	0.0319036189	Solar Monitoring
8.56508770708e-05	0.0001819394	0.0001430462	0.072703585	0.2196635969	0.0129831356	0.0002126308	0.0065352297	0.1918915928	0.1580278214	0.2176070532	0.0001180627	0.0001540192	0.0001192622	0.1195733741	Solar Invertor
0.0039070034	0.0003206641	0.0002521156	0.6201803938	0.0190596229	0.0003462076	0.1806649475	0.0002500569	0.0001604622	0.1733511645	0.0004108289	0.0002080829	0.0002714553	0.0002101969	0.0004067976	Solar Mounting/Rack
0.0372236318	0.6635890367	0.0001187512	0.0780472788	0.0001316002	0.0001630703	0.0001765176	0.0125019574	0.0407664446	0.1347266921	0.0001935081	0.0301738668	0.0001278605	9.90066854011e-05	0.0019607773	Solar Mounting/Rack
6.98678416993e-05	0.1426982427	0.0001166868	0.6729660017	0.0001293124	0.0001602354	0.000173449	0.0001157339	7.42668247249e-05	0.1202156985	0.0001901442	0.0626791591	0.0001256378	9.72855407511e-05	0.0001882783	Solar Mounting/Rack
0.0001097392	0.041190143	0.0001832762	0.658357704	0.1339960885	0.0002516767	0.0685341561	0.0029122486	0.0001166485	0.0359126888	0.0002986534	0.0001512665	0.0001973353	0.0001528033	0.057635572	Solar Mounting/Rack
5.98753824953e-05	0.0001271872	0.4887497326	0.0001716897	0.0001108182	0.1982788267	0.0001486424	9.91817414256e-05	6.36452254565e-05	0.0032068703	0.0478360947	8.25333150352e-05	0.0001076691	0.2607958825	0.0001613509	Solar Monitoring
9.74938089326e-05	0.0002070962	0.0001628251	0.0002795587	0.000180443	0.000223593	0.0002420312	0.8370578102	0.0631740791	0.0003701057	0.0099684735	0.0001343872	0.0826520536	0.0049873254	0.0002627242	Solar Invertor
0.2795811203	0.5684266698	0.0001242465	0.0501913459	0.0001376901	0.0001706165	0.0001846861	0.0001232319	7.90782995326e-05	0.0576645911	0.0002024629	0.0426764187	0.0001337774	0.0001035883	0.0002004762	Solar Mounting/Rack
0.0159561238	0.5754351949	0.0001066729	0.3847756452	0.0001182151	0.0001464843	0.0001585639	0.0001058019	6.78933824644e-05	0.022491623	0.0001738263	8.80422040075e-05	0.0001148558	8.89366746315e-05	0.0001721206	Solar Mounting/Rack
0.2177737438	0.4033582771	0.1135585253	0.0185748988	0.0001140464	0.0001413188	0.0001529724	0.0614294299	0.0031318672	0.173483709	0.0078336165	8.49375513964e-05	0.0001108056	8.58004800959e-05	0.0001660511	Solar Mounting/Rack
0.0419697904	0.0001084461	0.0064365874	0.0001463911	0.0089863425	0.0953869429	0.0001267398	0.720324696	5.42670560323e-05	0.0243288369	0.0903277383	7.03719721224e-05	9.18040225845e-05	7.1086920851e-05	0.0115699587	Solar Invertor
5.89964616024e-05	0.0001253202	0.0221172848	0.0632895986	0.2643342438	0.0001353029	0.1968473327	9.77258358248e-05	0.0441002197	0.0016918792	0.3465889598	8.13217945085e-05	0.0602906839	8.21479886855e-05	0.0001589824	Solar Invertor
0.4353819525	0.0759150758	0.0001082208	0.3887466741	0.0001199304	0.0001486099	0.0001608647	0.0001073371	6.88785542649e-05	0.0985954198	0.0001763487	8.93197467295e-05	0.0001165224	9.02271966338e-05	0.0001746182	Solar Mounting/Rack
5.77254197644e-05	0.0001226202	0.0230770733	0.0001655248	0.000106839	0.1135994247	0.1107377586	0.001531912	6.13598978807e-05	0.0174546363	0.446843788	7.95697673469e-05	0.0776635497	8.03781616876e-05	0.2084178399	Solar Monitoring
0.7291786507	0.0410005929	6.24258493983e-05	0.0001071806	6.9180390759e-05	0.001945778	0.0744949635	0.0540034898	3.97317436842e-05	0.0001418956	0.0001017246	5.15229931996e-05	0.0028572959	0.0958448412	0.0001007264	Solar Mounting/Rack
0.0458210687	0.66136687	0.0002044941	0.0308168513	0.0093663455	0.0063739632	0.00030397	0.0002028242	0.0001301529	0.0674894704	0.0003332284	0.0001687786	0.0002201807	0.0854745934	0.0917272086	Solar Mounting/Rack
8.03430433485e-05	0.0101659179	0.0001341815	0.0002303798	0.0001487001	0.0001842593	0.9557456712	0.0001330858	8.54015606193e-05	0.000304998	0.0002186523	0.0280974556	0.0001444745	0.0041099728	0.0002165067	Solar Mounting/Rack
7.17385085594e-05	0.0001523868	0.0019047684	0.2804440251	0.1732736466	0.1393912061	0.4017935174	0.0001188326	7.62552715473e-05	0.0002723335	0.0001952352	9.88856635289e-05	0.0019139591	9.98902990008e-05	0.0001933194	Solar Mounting/Rack
9.99175964172e-05	0.0002122448	0.0275139043	0.0027726026	0.0001849289	0.1792279013	0.0002480483	0.5620226966	0.0001062086	0.0003793069	0.0773408301	0.0001377282	0.0001796739	0.0001391275	0.1494348804	Solar Invertor
0.0101555255	0.2352518225	0.0289469686	0.037671428	0.0188598948	0.0289831046	0.1040044427	9.60341931772e-05	6.1625434162e-05	0.5022125868	0.0001577786	0.0332575794	0.0001042523	8.07259999156e-05	0.0001562304	Solar Mounting/Rack
0.0033215015	0.0082791644	0.000109278	0.0001876222	0.3696850242	0.0099182709	0.2069228683	0.0001083856	6.9551374406e-05	0.0328090896	0.0001780713	9.01922407189e-05	0.0554708472	0.0424200159	0.2704301172	Solar Monitoring
6.64046798243e-05	0.0001410567	0.0001109029	0.0001904122	0.0001229028	0.000152293	0.0001648516	0.0001099973	7.05856170375e-05	0.3323531492	0.1323602472	9.15334170965e-05	0.0414255127	0.1091405739	0.3834995769	Solar Monitoring
7.12299389211e-05	0.0001513065	0.0001189616	0.5035384415	0.2943342139	0.0001633593	0.0462567213	0.0231579357	0.0390663916	0.0002704029	0.0001938511	9.81846418998e-05	0.0001280871	9.91821552959e-05	0.0923517307	Solar Mounting/Rack
0.0001035207	0.0002198984	0.0722937028	0.0002968405	0.0465549768	0.1831151889	0.0981352382	0.0001714788	0.0001100385	0.010695958	0.0105847029	0.0001426948	0.3968506203	0.0001441445	0.1805809958	Solar Invertor
0.2168702039	0.0554125561	0.1067712137	0.0371559633	0.0627187242	0.2170611505	0.0003664975	0.0002445457	0.0111767176	0.1915701607	0.0848868454	0.0148965526	0.0002654725	0.0002055642	0.0003978319	Solar Mounting/Rack
6.43835115603e-05	0.0001367633	0.0001075274	0.0001846166	0.0001191619	0.0914590653	0.0001598339	0.0001066493	0.2820124329	0.0002444125	0.6153257547	8.87474020412e-05	0.0065235938	8.96490371716e-05	0.0033774083	Solar Invertor
0.6823785212	0.0001128915	8.8758644796e-05	0.0014747281	9.83624218079e-05	0.0001218842	0.0755050872	0.0384357778	5.64915937673e-05	0.0015240867	0.0001446345	0.0146189527	0.0014179033	0.1706553449	0.0133665753	Site Assessment
