Top01,Top02,Top03,Top04,Top05,Top06,Top07,Top08,Top09,Top10,Top11,Top12,Top13,Top14,Top15,Rel
8.1922073317e-05,6.29445150426e-05,6.16780781628e-05,8.77336191493e-05,7.87637350213e-05,0.410153842406,0.00117859403888,0.201036154145,8.02998516282e-05,0.000147243419432,8.52106759987e-05,0.000116283773162,0.276489013907,0.00313142889732,0.107208886865,unwanted
0.0026726157245,7.92794234022e-05,7.76843299213e-05,0.000110501617725,0.00138392084532,0.000137822632815,0.000199737385389,0.000118381066042,0.382946778353,0.000185454973868,0.000107323938493,0.611671710831,8.3173492657e-05,8.99240941766e-05,0.000135691291669,unwanted
0.000102132213414,7.84728997113e-05,7.68940334004e-05,0.274785185131,0.132349509517,0.316776587709,0.166783496182,0.0357232999703,0.000100109790335,0.000183568307396,0.000106232112956,0.00268826544519,8.23273539062e-05,0.0242503071769,0.0459136121577,unwanted
0.153280040108,3.87530503182e-05,0.180899144267,0.0327095041529,0.00193246300012,0.0867300143085,9.76348289914e-05,0.120003990331,0.0144932122774,9.06533577772e-05,0.156422015686,7.15924319935e-05,4.06565336598e-05,0.189068999558,0.0641213261094,relevant
0.000227920225988,0.000175121643195,0.221522545306,0.0740277379004,0.241434908903,0.000304438716785,0.0486843583837,0.00026149391505,0.000223406947466,0.0912202995514,0.320912159658,0.000323519935284,0.000183723317845,0.000198634834352,0.000299730761709,unwanted
0.000163447092126,0.342018730516,0.00012305721908,0.000175042016773,0.0266131630166,0.152849189348,0.419542517681,0.0246084626345,0.0327214625647,0.000293773189159,0.000170008358507,0.000232003949794,0.000131752423145,0.000142445831339,0.000214944159562,unwanted
0.000318228009776,0.000244509287146,0.618351221166,0.000340803081292,0.00030595937851,0.000425065070559,0.000616019184073,0.000365104447375,0.000311926455646,0.273967499411,0.0320290350342,0.00837621484719,0.000256519163817,0.0082018470966,0.0558900483664,relevant
6.63550183271e-05,5.09836272463e-05,4.99578421439e-05,7.10622384277e-05,6.37968360569e-05,0.0215694609769,0.763524061338,0.156225232007,0.0479838132794,0.000119263824746,0.000895204439787,9.41872145919e-05,0.00914153086351,5.78290847891e-05,8.72614095577e-05,unwanted
0.00010059712472,7.72934201225e-05,7.57382848142e-05,0.00010773347732,9.67188079422e-05,0.00890210725921,0.000194733828534,0.000115415540117,9.86050994828e-05,0.21937423862,0.370854664589,0.281962915496,0.00509122546987,0.11281572085,0.000132292132861,unwanted
8.3454310972e-05,0.035393143206,0.0104537203279,8.93745536303e-05,0.00215841462991,0.00011147199961,0.000161549125071,9.57475116976e-05,8.18017478982e-05,0.908313665205,8.68044223613e-05,0.000118458698292,6.72713570454e-05,0.040597197021,0.00218792588412,unwanted
